crime,date,hour,lat,long,h,hora
VIOLACION,17/06/2020,22:00,19.27442597,-99.16198397,22,22
VIOLACION,17/06/2020,13:00,19.33845612,-99.29333614,13,13
VIOLACION,16/06/2020,00:00,19.39907233,-99.13814838,0,0.1
VIOLACION,15/06/2020,12:00,19.3206029,-99.0888206,12,12
VIOLACION,15/06/2020,18:00,19.44693063,-99.12850428,18,18
VIOLACION,15/06/2020,18:15,19.44513083,-99.11699494,18,18
VIOLACION,15/06/2020,13:00,19.4527335,-99.0953531,13,13
VIOLACION,14/06/2020,04:30,19.47659871,-99.21073342,4,4
VIOLACION,14/06/2020,05:00,19.3054204,-99.1493297,5,5
VIOLACION,14/06/2020,09:30,19.4060488,-99.1174818,9,9
VIOLACION,13/06/2020,05:00,19.3274654,-99.098124,5,5
VIOLACION,13/06/2020,08:00,19.29773198,-99.23140336,8,8
VIOLACION,13/06/2020,02:30,19.49641213,-99.08497223,2,2
VIOLACION,12/06/2020,10:30,19.38741785,-99.15255698,10,10
VIOLACION,12/06/2020,01:00,19.30310645,-99.08492401,1,1
VIOLACION,11/06/2020,18:45,19.4145712,-99.12596017,18,18
VIOLACION,10/06/2020,10:30,19.4514262,-99.1053983,10,10
VIOLACION,10/06/2020,23:00,19.27308998,-99.16112376,23,23
VIOLACION,09/06/2020,04:00,19.3579226,-99.08480236,4,4
VIOLACION,09/06/2020,14:00,19.4808949,-99.0796915,14,14
VIOLACION,08/06/2020,01:00,19.45830729,-99.16428086,1,1
VIOLACION,08/06/2020,22:00,19.4619695,-99.16018525,22,22
VIOLACION,07/06/2020,07:15,19.40495574,-99.11299491,7,7
VIOLACION,07/06/2020,01:00,19.45276506,-99.14112009,1,1
VIOLACION,07/06/2020,22:20,19.38332949,-99.07509685,22,22
VIOLACION,07/06/2020,09:20,19.37372263,-99.14063279,9,9
VIOLACION,07/06/2020,09:00,19.35975096,-99.23207744,9,9
VIOLACION,06/06/2020,22:00,19.36551713,-99.23544947,22,22
VIOLACION,05/06/2020,21:00,19.33523701,-99.1771307,21,21
VIOLACION,05/06/2020,23:00,19.3283518,-99.1059225,23,23
VIOLACION,05/06/2020,00:00,19.2842814,-99.2262528,0,0.1
VIOLACION,04/06/2020,19:20,19.5490274,-99.12226525,19,19
VIOLACION,04/06/2020,02:00,19.35804336,-99.22767121,2,2
VIOLACION,04/06/2020,10:45,19.4146145,-99.1829151,10,10
VIOLACION,03/06/2020,15:30,19.38780996,-99.2153108,15,15
VIOLACION,01/06/2020,18:00,19.53739694,-99.14145827,18,18
VIOLACION,31/05/2020,19:00,19.4359492,-99.18478742,19,19
VIOLACION,31/05/2020,20:40,19.37925544,-99.17184546,20,20
VIOLACION,30/05/2020,06:30,19.4243683,-99.12609589,6,6
VIOLACION,30/05/2020,19:30,19.3159761,-99.2454865,19,19
VIOLACION,30/05/2020,23:00,19.40505998,-99.08031486,23,23
VIOLACION,29/05/2020,11:10,19.32639625,-99.03286625,11,11
VIOLACION,29/05/2020,13:00,19.44545372,-99.17283003,13,13
VIOLACION,26/05/2020,17:00,19.37603493,-99.06000641,17,17
VIOLACION,26/05/2020,12:00,19.33278381,-99.08170702,12,12
VIOLACION,26/05/2020,14:00,19.2972005,-99.04720602,14,14
VIOLACION,25/05/2020,12:25,19.4463427,-99.1326593,12,12
VIOLACION,24/05/2020,09:10,19.39400595,-99.07683548,9,9
VIOLACION,24/05/2020,00:30,19.42699682,-99.13019634,0,0.1
VIOLACION,23/05/2020,21:30,19.39546588,-99.20136971,21,21
VIOLACION,22/05/2020,21:00,19.31499966,-99.11795613,21,21
VIOLACION,22/05/2020,12:00,19.3778402,-99.0493223,12,12
VIOLACION,21/05/2020,17:30,19.45051207,-99.1168311,17,17
VIOLACION,21/05/2020,17:00,19.56671707,-99.12525203,17,17
VIOLACION,21/05/2020,06:30,19.4598181,-99.12018041,6,6
VIOLACION,20/05/2020,16:30,19.44958446,-99.15985345,16,16
VIOLACION,20/05/2020,22:20,19.44775619,-99.0879901,22,22
VIOLACION,18/05/2020,13:00,19.35135549,-99.1003556,13,13
VIOLACION,18/05/2020,08:30,19.2974886,-99.2459464,8,8
VIOLACION,18/05/2020,16:00,19.33796946,-99.1864957,16,16
VIOLACION,17/05/2020,23:00,19.47174452,-99.07188435,23,23
VIOLACION,17/05/2020,04:40,19.28237643,-99.19651634,4,4
VIOLACION,16/05/2020,14:30,19.43797191,-99.19591228,14,14
VIOLACION,16/05/2020,12:30,19.26722829,-99.10476965,12,12
VIOLACION,15/05/2020,12:00,19.36108584,-99.02468467,12,12
VIOLACION,15/05/2020,06:00,19.41603008,-99.15266162,6,6
VIOLACION,15/05/2020,22:30,19.316098,-99.2699615,22,22
VIOLACION,14/05/2020,15:00,19.2713957,-99.1912445,15,15
VIOLACION,14/05/2020,05:00,19.41400475,-99.15303512,5,5
VIOLACION,13/05/2020,17:00,19.4266717,-99.06927337,17,17
VIOLACION,13/05/2020,13:00,19.29555555,-99.18327033,13,13
VIOLACION,13/05/2020,10:00,19.4267208,-99.18965925,10,10
VIOLACION,13/05/2020,19:00,19.37295571,-99.13200943,19,19
VIOLACION,12/05/2020,16:30,19.5250552,-99.1712174,16,16
VIOLACION,11/05/2020,19:30,19.42901147,-99.11345716,19,19
VIOLACION,10/05/2020,23:00,19.2729335,-99.12857691,23,23
VIOLACION,08/05/2020,23:30,19.32751114,-99.25960695,23,23
VIOLACION,07/05/2020,21:50,19.41874051,-99.14695973,21,21
VIOLACION,07/05/2020,13:30,19.42651465,-99.13851022,13,13
VIOLACION,07/05/2020,00:00,19.57404427,-99.1332183,0,0.1
VIOLACION,05/05/2020,14:00,19.4897117,-99.07313955,14,14
VIOLACION,04/05/2020,08:00,19.43553339,-99.1235248,8,8
VIOLACION,04/05/2020,00:30,19.32413527,-99.23893965,0,0.1
VIOLACION,04/05/2020,08:00,19.47612921,-99.12780519,8,8
VIOLACION,03/05/2020,03:00,19.39225387,-99.20849109,3,3
VIOLACION,03/05/2020,04:00,19.3482831,-99.10586761,4,4
VIOLACION,03/05/2020,19:45,19.30838238,-99.14675637,19,19
VIOLACION,03/05/2020,20:30,19.2533752,-99.1590574,20,20
VIOLACION,03/05/2020,06:00,19.50286563,-99.09723649,6,6
VIOLACION,03/05/2020,20:30,19.44006058,-99.08376441,20,20
VIOLACION,02/05/2020,07:00,19.36705208,-99.28158066,7,7
VIOLACION,02/05/2020,18:00,19.33791606,-99.15686891,18,18
VIOLACION,02/05/2020,05:00,19.4884106,-99.20133165,5,5
VIOLACION,01/05/2020,16:00,19.30824816,-99.23857144,16,16
VIOLACION,30/04/2020,21:30,19.3994112,-99.2112514,21,21
VIOLACION,30/04/2020,18:00,19.34545897,-98.98725934,18,18
